*
* Diensttypen
*
$DUTY:DutyID;DutyType
15p;day-Tripper
31;day-Tripper
32;day-Tripper
36p;day-Tripper
40p;day-Tripper
84p;day-Tripper
95p;day-Tripper
712;day-Split90-225
781;day-Split90-225
834;day-Split90-225
975;day-Split90-225
1127;day-Split90-225
1327;day-Split90-225
1644;day-Split90-225
2455;day-Split90-225
2775;day-Split226-360
3498;day-Split226-360
4294;day-Split226-360
4328;day-Split226-360
4454;day-Block30
4457;day-Block30
4521;day-Block30
4722;day-Block30
5825;day-Block30
5830;day-Block30
5873;day-Block30
5977;day-Block30
6002;day-Block30
6010;day-Block30
6047;day-Block30
6076;day-Block30
6125;day-Block30
6148;day-Block30
29932;day-Split90-225
30070;day-Split90-225
30088;day-Split90-225
30116;day-Split226-360
30150;day-Split226-360
35032;day-Block30
35914;day-Split90-225
35987;day-Split226-360
36125;day-Block30
36971;day-Split90-225
37049;day-Split226-360
37075;day-Block30
37096;day-Block30
37098;day-Block30
37641;day-Block30
37646;day-Block30
38707;day-Block30
39276;day-Split90-225
39282;day-Block30
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
781;18;-1;8206;0;0:10:45:00;0:10:45:00;3;
781;-3;-1;0;-1;0:10:45:00;0:10:55:00;6;
834;-3;-1;-1;0;0:06:58:00;0:07:08:00;5;
834;23;-1;0;8217;0:07:08:00;0:07:14:00;4;
834;23;655362;8217;8209;0:07:14:00;0:07:32:00;1;-
834;23;-1;8209;8217;0:07:32:00;0:07:39:00;2;
834;23;-1;8217;8217;0:07:39:00;0:07:40:00;9;
834;23;589828;8217;8222;0:07:40:00;0:07:57:00;1;-
834;23;-1;8222;0;0:07:57:00;0:08:00:00;3;
834;-1;P;-1;-1;0:08:00:00;0:09:38:00;8;
834;19;-1;0;8206;0:09:38:00;0:09:38:00;4;
834;19;65557;8206;8204;0:09:38:00;0:10:18:00;1;-
834;19;-1;8204;8204;0:10:18:00;0:10:28:00;9;
834;19;65578;8204;8206;0:10:28:00;0:11:05:00;1;-
834;19;-1;8206;0;0:11:05:00;0:11:05:00;3;
834;-3;-1;0;-1;0:11:05:00;0:11:15:00;6;
975;-3;-1;-1;0;0:05:36:00;0:05:46:00;5;
975;14;-1;0;8206;0:05:46:00;0:05:46:00;4;
975;14;131073;8206;8198;0:05:46:00;0:06:36:00;1;-
975;14;-1;8198;8198;0:06:36:00;0:06:43:00;9;
975;14;327692;8198;8210;0:06:43:00;0:07:28:00;1;-
975;14;-1;8210;8210;0:07:28:00;0:07:30:00;9;
975;14;327719;8210;8198;0:07:30:00;0:08:19:00;1;-
975;14;-1;8198;8198;0:08:19:00;0:08:33:00;9;
975;14;327693;8198;8210;0:08:33:00;0:09:18:00;1;-
975;14;-1;8210;0;0:09:18:00;0:09:28:00;3;
975;-1;P;-1;-1;0:09:28:00;0:11:09:00;8;
975;11;-1;0;8211;0:11:09:00;0:11:15:00;4;
975;11;786444;8211;8231;0:11:15:00;0:11:20:00;1;-
975;11;-1;8231;0;0:11:20:00;0:11:25:00;3;
975;-3;-1;0;-1;0:11:25:00;0:11:35:00;6;
1127;-3;-1;-1;0;0:06:57:00;0:07:07:00;5;
1127;11;-1;0;8217;0:07:07:00;0:07:13:00;4;
1127;11;655361;8217;8209;0:07:13:00;0:07:31:00;1;-
1127;11;-1;8209;0;0:07:31:00;0:07:36:00;3;
1127;-1;P;-1;-1;0:07:36:00;0:09:46:00;8;
1127;23;-1;0;8206;0:09:46:00;0:09:46:00;4;
1127;23;131075;8206;8198;0:09:46:00;0:10:36:00;1;-
1127;23;-1;8198;8213;0:10:36:00;0:10:47:00;2;
1127;23;-1;8213;8213;0:10:47:00;0:10:49:00;9;
