*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
5;L424;292;297;0:12:10:00;0:12:14:00;2;
5;L424w;297;297;0:12:14:00;0:12:19:00;9;
5;199;297;253;0:12:19:00;0:12:52:00;1;
5;L199;253;586;0:12:52:00;0:13:07:00;2;
5;L199w;586;586;0:13:07:00;0:13:08:00;9;
5;161;586;364;0:13:08:00;0:13:53:00;1;
5;161w;364;364;0:13:53:00;0:14:01:00;9;
5;162;364;332;0:14:01:00;0:14:53:00;1;
5;162w;332;332;0:14:53:00;0:15:02:00;9;
5;163;332;364;0:15:02:00;0:15:53:00;1;
5;163w;364;364;0:15:53:00;0:16:01:00;9;
5;164;364;586;0:16:01:00;0:16:45:00;1;
5;L164;586;441;0:16:45:00;0:17:10:00;2;
5;L164w;441;441;0:17:10:00;0:17:21:00;9;
5;41;441;296;0:17:21:00;0:17:53:00;1;
5;41w;296;296;0:17:53:00;0:18:02:00;9;
5;42;296;441;0:18:02:00;0:18:34:00;1;
5;42w;441;441;0:18:34:00;0:18:50:00;9;
5;400;441;271;0:18:50:00;0:19:24:00;1;
5;L400;271;441;0:19:24:00;0:19:50:00;2;
5;L400w;441;441;0:19:50:00;0:19:51:00;9;
5;86;441;296;0:19:51:00;0:20:23:00;1;
5;86w;296;296;0:20:23:00;0:20:32:00;9;
5;87;296;441;0:20:32:00;0:21:04:00;1;
5;L87;441;235;0:21:04:00;0:21:18:00;2;
5;601;235;500;0:21:18:00;0:21:28:00;1;
5;L601;500;253;0:21:28:00;0:21:35:00;2;
5;L601w;253;253;0:21:35:00;0:21:49:00;9;
5;603;253;500;0:21:49:00;0:21:58:00;1;
5;603w;500;500;0:21:58:00;0:22:00:00;9;
5;589;500;441;0:22:00:00;0:22:17:00;1;
5;ZD589;441;1;0:22:17:00;0:22:33:00;3;
5;VD582;1;500;1:01:05:00;1:01:15:00;4;
5;582;500;110;1:01:15:00;1:01:28:00;1;
5;582w;110;110;1:01:28:00;1:01:30:00;9;
5;583;110;500;1:01:30:00;1:01:42:00;1;
5;L583;500;441;1:01:42:00;1:01:55:00;2;
5;596;441;500;1:01:55:00;1:02:13:00;1;
5;596w;500;500;1:02:13:00;1:02:15:00;9;
5;597;500;441;1:02:15:00;1:02:32:00;1;
5;ZD597;441;1;1:02:32:00;1:02:48:00;3;
5;VD659;1;228;1:02:49:00;1:03:01:00;4;
5;659;228;500;1:03:01:00;1:03:12:00;1;
5;659w;500;500;1:03:12:00;1:03:15:00;9;
5;538;500;364;1:03:15:00;1:03:38:00;1;
5;ZD538;364;1;1:03:38:00;1:04:01:00;3;
6;VD46;1;558;0:05:06:00;0:05:31:00;4;
6;46;558;101;0:05:31:00;0:06:08:00;1;
6;46w;101;101;0:06:08:00;0:06:19:00;9;
6;47;101;558;0:06:19:00;0:06:53:00;1;
6;47w;558;558;0:06:53:00;0:07:01:00;9;
6;48;558;101;0:07:01:00;0:07:38:00;1;
6;48w;101;101;0:07:38:00;0:07:49:00;9;
6;49;101;558;0:07:49:00;0:08:23:00;1;
6;49w;558;558;0:08:23:00;0:08:31:00;9;
6;50;558;101;0:08:31:00;0:09:08:00;1;
6;ZD50;101;1;0:09:08:00;0:09:10:00;3;
6;VD422;1;228;0:09:16:00;0:09:28:00;4;
6;422;228;292;0:09:28:00;0:10:10:00;1;
6;422w;292;292;0:10:10:00;0:10:15:00;9;
6;423;292;228;0:10:15:00;0:10:55:00;1;
6;ZD423;228;1;0:10:55:00;0:11:07:00;3;
6;VD443;1;586;0:11:28:00;0:11:38:00;4;
6;443;586;364;0:11:38:00;0:12:23:00;1;
6;443w;364;364;0:12:23:00;0:12:31:00;9;
6;444;364;586;0:12:31:00;0:13:15:00;1;
6;L444;586;251;0:13:15:00;0:13:30:00;2;
6;L444w;251;251;0:13:30:00;0:13:32:00;9;
6;493;251;509;0:13:32:00;0:13:58:00;1;
6;ZD493;509;1;0:13:58:00;0:14:00:00;3;
6;VD274;1;353;0:14:32:00;0:14:53:00;4;
6;274;353;620;0:14:53:00;0:15:27:00;1;
6;274w;620;620;0:15:27:00;0:15:28:00;9;
6;275;620;353;0:15:28:00;0:16:02:00;1;
6;ZD275;353;1;0:16:02:00;0:16:23:00;3;
6;VD430;1;228;0:17:16:00;0:17:28:00;4;
6;430;228;292;0:17:28:00;0:18:10:00;1;
6;430w;292;292;0:18:10:00;0:18:15:00;9;
6;431;292;228;0:18:15:00;0:18:55:00;1;
6;L431;228;101;0:18:55:00;0:19:08:00;2;
6;L431w;101;101;0:19:08:00;0:19:19:00;9;
6;21;101;558;0:19:19:00;0:19:53:00;1;
6;21w;558;558;0:19:53:00;0:20:01:00;9;
6;22;558;101;0:20:01:00;0:20:38:00;1;
6;ZD22;101;1;0:20:38:00;0:20:40:00;3;
6;VD519;1;500;1:00:05:00;1:00:15:00;4;
6;519;500;297;1:00:15:00;1:00:44:00;1;
6;519w;297;297;1:00:44:00;1:00:48:00;9;
6;520;297;500;1:00:48:00;1:01:13:00;1;
6;520w;500;500;1:01:13:00;1:01:15:00;9;
6;534;500;364;1:01:15:00;1:01:38:00;1;
6;534w;364;364;1:01:38:00;1:01:47:00;9;
6;535;364;500;1:01:47:00;1:02:12:00;1;
6;535w;500;500;1:02:12:00;1:02:15:00;9;
